//===== eAthena Script ======================================= 
//= Morroc Village - Housing for Rent
//===== By: ================================================== 
//= Zephyrus
//===== Current Version: ===================================== 
//= 1.0 10399
//===== Compatible With: ===================================== 
//= eAthena SVN Stable 
//===== Description: ========================================= 
//= Script que contiene el código para los mapas rent_mc.
//= rentc1 y rentinc1 correspondientes a Morroc.
//===== Additional Comments: ================================= 
//= 1.0 Versión Inicial
//============================================================ 

//============================================================ 
//= Warp de Acceso Principal
//============================================================ 

rent_mc,49,96,0	warp	rentcm1		1,1,moc_fild07,369,370
moc_fild07,373,374,0	warp	rentcm2		1,1,rent_mc,49,92

//============================================================ 
//= Propietario, Letreros y Kafra
//============================================================ 

rent_mc,55,20,1	duplicate(BRent_Propietario)	Propietario#c	833
rentinc19,20,4,0	warp	rentinc19	1,1,rentc19,20,18
rentinc20,20,4,0	warp	rentinc20	1,1,rentc20,20,18
rentinc21,20,4,0	warp	rentinc21	1,1,rentc21,20,18
rentinc22,20,4,0	warp	rentinc22	1,1,rentc22,20,18

//============================================================ 
//= NPCs de OutDoor
//============================================================ 

//============================================================ 
//= Manzano
//============================================================ 

rentc1,28,32,0	duplicate(BRent_AppleTree)	Manzano#c1	111
rentc2,28,32,0	duplicate(BRent_AppleTree)	Manzano#c2	111
rentc3,28,32,0	duplicate(BRent_AppleTree)	Manzano#c3	111
rentc4,28,32,0	duplicate(BRent_AppleTree)	Manzano#c4	111
rentc5,28,32,0	duplicate(BRent_AppleTree)	Manzano#c5	111
rentc6,28,32,0	duplicate(BRent_AppleTree)	Manzano#c6	111
rentc7,28,32,0	duplicate(BRent_AppleTree)	Manzano#c7	111
rentc8,28,32,0	duplicate(BRent_AppleTree)	Manzano#c8	111
rentc9,28,32,0	duplicate(BRent_AppleTree)	Manzano#c9	111
rentc10,28,32,0	duplicate(BRent_AppleTree)	Manzano#c10	111
rentc11,28,32,0	duplicate(BRent_AppleTree)	Manzano#c11	111
rentc12,28,32,0	duplicate(BRent_AppleTree)	Manzano#c12	111
rentc13,28,32,0	duplicate(BRent_AppleTree)	Manzano#c13	111
rentc14,28,32,0	duplicate(BRent_AppleTree)	Manzano#c14	111
rentc15,28,32,0	duplicate(BRent_AppleTree)	Manzano#c15	111
rentc16,28,32,0	duplicate(BRent_AppleTree)	Manzano#c16	111
rentc17,28,32,0	duplicate(BRent_AppleTree)	Manzano#c17	111
rentc18,28,32,0	duplicate(BRent_AppleTree)	Manzano#c18	111
rentc19,28,32,0	duplicate(BRent_AppleTree)	Manzano#c19	111
rentc20,28,32,0	duplicate(BRent_AppleTree)	Manzano#c20	111
rentc21,28,32,0	duplicate(BRent_AppleTree)	Manzano#c21	111
rentc22,28,32,0	duplicate(BRent_AppleTree)	Manzano#c22	111

//============================================================ 
//= Activador de PVP en Mapa Outdoor
//============================================================ 

rentc1,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c1	837
rentc2,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c2	837
rentc3,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c3	837
rentc4,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c4	837
rentc5,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c5	837
rentc6,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c6	837
rentc7,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c7	837
rentc8,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c8	837
rentc9,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c9	837
rentc10,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c10	837
rentc11,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c11	837
rentc12,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c12	837
rentc13,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c13	837
rentc14,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c14	837
rentc15,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c15	837
rentc16,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c16	837
rentc17,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c17	837
rentc18,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c18	837
rentc19,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c19	837
rentc20,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c20	837
rentc21,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c21	837
rentc22,26,19,3	duplicate(BRent_PVPSwitch)	Switch#c22	837

//============================================================ 
//= Mobs en el Outdoor
//============================================================ 

rentc1,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc2,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc3,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc4,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc5,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc6,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc7,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc8,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc9,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc10,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc11,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc12,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc13,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc14,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc15,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc16,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc17,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc18,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc19,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc20,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc21,0,0,0,0	monster	Muka	1055,3,1800000,900000,0
rentc22,0,0,0,0	monster	Muka	1055,3,1800000,900000,0

//============================================================ 
//= Jardín
//============================================================ 

rentc1,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc1,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc1,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc1,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc1,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc2,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc2,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc2,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc2,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc2,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc3,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc3,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc3,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc3,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc3,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc4,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc4,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc4,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc4,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc4,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc5,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc5,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc5,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc5,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc5,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc6,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc6,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc6,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc6,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc6,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc7,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc7,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc7,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc7,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc7,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc8,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc8,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc8,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc8,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc8,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc9,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc9,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc9,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc9,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc9,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc10,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc10,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc10,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc10,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc10,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc11,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc11,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc11,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc11,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc11,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc12,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc12,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc12,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc12,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc12,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc13,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc13,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc13,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc13,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc13,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc14,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc14,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc14,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc14,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc14,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc15,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc15,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc15,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc15,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc15,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc16,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc16,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc16,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc16,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc16,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc17,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc17,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc17,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc17,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc17,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc18,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc18,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc18,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc18,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc18,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc19,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc19,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc19,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc19,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc19,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc20,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc20,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc20,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc20,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc20,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc21,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc21,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc21,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc21,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc21,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0
rentc22,6,20,2,12	monster	Blue Plant	1079,5,39600000,39000000,0
rentc22,33,20,2,12	monster	White Plant	1082,5,39600000,39000000,0
rentc22,19,33,12,2	monster	Yellow Plant	1081,5,39600000,39000000,0
rentc22,10,6,6,2	monster	Green Plant	1080,5,39600000,39000000,0
rentc22,29,6,6,2	monster	Red Plant	1078,5,39600000,39000000,0

//============================================================ 
//= NPCs de Indoor
//============================================================ 

//============================================================ 
//= Camas
//============================================================ 

rentinc1,5,33,0	duplicate(BRent_Bed)	Descansar#cx1	111
rentinc1,33,34,0	duplicate(BRent_Bed)	Descansar#cy1	111
rentinc2,5,33,0	duplicate(BRent_Bed)	Descansar#cx2	111
rentinc2,33,34,0	duplicate(BRent_Bed)	Descansar#cy2	111
rentinc3,5,33,0	duplicate(BRent_Bed)	Descansar#cx3	111
rentinc3,33,34,0	duplicate(BRent_Bed)	Descansar#cy3	111
rentinc4,5,33,0	duplicate(BRent_Bed)	Descansar#cx4	111
rentinc4,33,34,0	duplicate(BRent_Bed)	Descansar#cy4	111
rentinc5,5,33,0	duplicate(BRent_Bed)	Descansar#cx5	111
rentinc5,33,34,0	duplicate(BRent_Bed)	Descansar#cy5	111
rentinc6,5,33,0	duplicate(BRent_Bed)	Descansar#cx6	111 
rentinc6,33,34,0	duplicate(BRent_Bed)	Descansar#cy6	111
rentinc7,5,33,0	duplicate(BRent_Bed)	Descansar#cx7	111
rentinc7,33,34,0	duplicate(BRent_Bed)	Descansar#cy7	111
rentinc8,5,33,0	duplicate(BRent_Bed)	Descansar#cx8	111
rentinc8,33,34,0	duplicate(BRent_Bed)	Descansar#cy8	111
rentinc9,5,33,0	duplicate(BRent_Bed)	Descansar#cx9	111
rentinc9,33,34,0	duplicate(BRent_Bed)	Descansar#cy9	111
rentinc10,5,33,0	duplicate(BRent_Bed)	Descansar#cx10	111
rentinc10,33,34,0	duplicate(BRent_Bed)	Descansar#cy10	111
rentinc11,5,33,0	duplicate(BRent_Bed)	Descansar#cx11	111
rentinc11,33,34,0	duplicate(BRent_Bed)	Descansar#cy11	111
rentinc12,5,33,0	duplicate(BRent_Bed)	Descansar#cx12	111
rentinc12,33,34,0	duplicate(BRent_Bed)	Descansar#cy12	111
rentinc13,5,33,0	duplicate(BRent_Bed)	Descansar#cx13	111
rentinc13,33,34,0	duplicate(BRent_Bed)	Descansar#cy13	111
rentinc14,5,33,0	duplicate(BRent_Bed)	Descansar#cx14	111
rentinc14,33,34,0	duplicate(BRent_Bed)	Descansar#cy14	111
rentinc15,5,33,0	duplicate(BRent_Bed)	Descansar#cx15	111
rentinc15,33,34,0	duplicate(BRent_Bed)	Descansar#cy15	111
rentinc16,5,33,0	duplicate(BRent_Bed)	Descansar#cx16	111
rentinc16,33,34,0	duplicate(BRent_Bed)	Descansar#cy16	111
rentinc17,5,33,0	duplicate(BRent_Bed)	Descansar#cx17	111
rentinc17,33,34,0	duplicate(BRent_Bed)	Descansar#cy17	111
rentinc18,5,33,0	duplicate(BRent_Bed)	Descansar#cx18	111
rentinc18,33,34,0	duplicate(BRent_Bed)	Descansar#cy18	111
rentinc19,5,33,0	duplicate(BRent_Bed)	Descansar#cx19	111
rentinc19,33,34,0	duplicate(BRent_Bed)	Descansar#cy19	111
rentinc20,5,33,0	duplicate(BRent_Bed)	Descansar#cx20	111
rentinc20,33,34,0	duplicate(BRent_Bed)	Descansar#cy20	111
rentinc21,5,33,0	duplicate(BRent_Bed)	Descansar#cx21	111
rentinc21,33,34,0	duplicate(BRent_Bed)	Descansar#cy21	111
rentinc22,5,33,0	duplicate(BRent_Bed)	Descansar#cx22	111
rentinc22,33,34,0	duplicate(BRent_Bed)	Descansar#cy22	111

//============================================================ 
//= Piano
//============================================================ 

rentinc1,32,20,0	duplicate(BRent_Piano)	Piano#c1	111
rentinc2,32,20,0	duplicate(BRent_Piano)	Piano#c2	111
rentinc3,32,20,0	duplicate(BRent_Piano)	Piano#c3	111
rentinc4,32,20,0	duplicate(BRent_Piano)	Piano#c4	111
rentinc5,32,20,0	duplicate(BRent_Piano)	Piano#c5	111
rentinc6,32,20,0	duplicate(BRent_Piano)	Piano#c6	111
rentinc7,32,20,0	duplicate(BRent_Piano)	Piano#c7	111
rentinc8,32,20,0	duplicate(BRent_Piano)	Piano#c8	111
rentinc9,32,20,0	duplicate(BRent_Piano)	Piano#c9	111
rentinc10,32,20,0	duplicate(BRent_Piano)	Piano#c10	111
rentinc11,32,20,0	duplicate(BRent_Piano)	Piano#c11	111
rentinc12,32,20,0	duplicate(BRent_Piano)	Piano#c12	111
rentinc13,32,20,0	duplicate(BRent_Piano)	Piano#c13	111
rentinc14,32,20,0	duplicate(BRent_Piano)	Piano#c14	111
rentinc15,32,20,0	duplicate(BRent_Piano)	Piano#c15	111
rentinc16,32,20,0	duplicate(BRent_Piano)	Piano#c16	111
rentinc17,32,20,0	duplicate(BRent_Piano)	Piano#c17	111
rentinc18,32,20,0	duplicate(BRent_Piano)	Piano#c18	111
rentinc19,32,20,0	duplicate(BRent_Piano)	Piano#c19	111
rentinc20,32,20,0	duplicate(BRent_Piano)	Piano#c20	111
rentinc21,32,20,0	duplicate(BRent_Piano)	Piano#c21	111
rentinc22,32,20,0	duplicate(BRent_Piano)	Piano#c22	111

//============================================================ 
//= Armarios
//============================================================ 

rentinc1,33,24,0	duplicate(BRent_Storage)	Armario#cx1	111
rentinc2,33,24,0	duplicate(BRent_Storage)	Armario#cx2	111
rentinc3,33,24,0	duplicate(BRent_Storage)	Armario#cx3	111
rentinc4,33,24,0	duplicate(BRent_Storage)	Armario#cx4	111
rentinc5,33,24,0	duplicate(BRent_Storage)	Armario#cx5	111
rentinc6,33,24,0	duplicate(BRent_Storage)	Armario#cx6	111
rentinc7,33,24,0	duplicate(BRent_Storage)	Armario#cx7	111
rentinc8,33,24,0	duplicate(BRent_Storage)	Armario#cx8	111
rentinc9,33,24,0	duplicate(BRent_Storage)	Armario#cx9	111
rentinc10,33,24,0	duplicate(BRent_Storage)	Armario#cx10	111
rentinc11,33,24,0	duplicate(BRent_Storage)	Armario#cx11	111
rentinc12,33,24,0	duplicate(BRent_Storage)	Armario#cx12	111
rentinc13,33,24,0	duplicate(BRent_Storage)	Armario#cx13	111
rentinc14,33,24,0	duplicate(BRent_Storage)	Armario#cx14	111
rentinc15,33,24,0	duplicate(BRent_Storage)	Armario#cx15	111
rentinc16,33,24,0	duplicate(BRent_Storage)	Armario#cx16	111
rentinc17,33,24,0	duplicate(BRent_Storage)	Armario#cx17	111
rentinc18,33,24,0	duplicate(BRent_Storage)	Armario#cx18	111
rentinc19,33,24,0	duplicate(BRent_Storage)	Armario#cx19	111
rentinc20,33,24,0	duplicate(BRent_Storage)	Armario#cx20	111
rentinc21,33,24,0	duplicate(BRent_Storage)	Armario#cx21	111
